,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
0,CE_PE_SMA10_SMA30_2021,2021-01-01,Buy,NIFTY,50,PE,14000,2021-01-07,15:17:45,98.75,15:15:00,92.6
1,CE_PE_SMA10_SMA30_2021,2021-01-04,Buy,NIFTY,50,CE,14100,2021-01-07,12:40:40,78.8,15:15:00,98.25
2,CE_PE_SMA10_SMA30_2021,2021-01-05,Buy,NIFTY,50,PE,14100,2021-01-07,10:09:20,100.6,11:21:50,71.65
3,CE_PE_SMA10_SMA30_2021,2021-01-05,Buy,NIFTY,50,CE,14100,2021-01-07,11:21:50,89.6,15:15:00,143.7
4,CE_PE_SMA10_SMA30_2021,2021-01-06,Buy,NIFTY,50,PE,14200,2021-01-07,13:30:00,66.3,15:15:00,74.25
5,CE_PE_SMA10_SMA30_2021,2021-01-07,Buy,NIFTY,50,CE,14300,2021-01-07,12:35:20,3.8,13:38:00,0.95
6,CE_PE_SMA10_SMA30_2021,2021-01-07,Buy,NIFTY,50,PE,14200,2021-01-07,13:38:00,34.6,15:15:00,58.85
7,CE_PE_SMA10_SMA30_2021,2021-01-08,Buy,NIFTY,50,CE,14300,2021-01-14,10:11:15,82.1,14:10:25,103.15
8,CE_PE_SMA10_SMA30_2021,2021-01-08,Buy,NIFTY,50,PE,14300,2021-01-14,14:10:25,117.85,14:41:40,104.1
9,CE_PE_SMA10_SMA30_2021,2021-01-08,Buy,NIFTY,50,CE,14300,2021-01-14,14:41:40,119.4,15:15:00,139.5
10,CE_PE_SMA10_SMA30_2021,2021-01-11,Buy,NIFTY,50,PE,14400,2021-01-14,11:40:20,101.6,12:45:00,90.45
11,CE_PE_SMA10_SMA30_2021,2021-01-11,Buy,NIFTY,50,CE,14500,2021-01-14,12:45:00,70.75,15:15:00,74.85
12,CE_PE_SMA10_SMA30_2021,2021-01-12,Buy,NIFTY,50,CE,14500,2021-01-14,11:20:45,82.75,15:15:00,122.0
13,CE_PE_SMA10_SMA30_2021,2021-01-13,Buy,NIFTY,50,PE,14600,2021-01-14,11:23:25,73.9,15:05:00,54.15
