,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
37,CE_PE_EMA10_EMA30_2022,2022-02-02,Buy,NIFTY,50,PE,17700,2022-02-03,14:09:50,54.5,14:13:25,38.8
38,CE_PE_EMA10_EMA30_2022,2022-02-02,Buy,NIFTY,50,CE,17800,2022-02-03,14:13:25,53.1,15:15:00,55.5
39,CE_PE_EMA10_EMA30_2022,2022-02-03,Buy,NIFTY,50,PE,17700,2022-02-03,09:45:15,42.95,15:15:00,123.0
40,CE_PE_EMA10_EMA30_2022,2022-02-04,Buy,NIFTY,50,PE,17500,2022-02-10,10:48:55,144.1,11:15:45,116.45
41,CE_PE_EMA10_EMA30_2022,2022-02-04,Buy,NIFTY,50,CE,17600,2022-02-10,11:15:45,141.7,11:55:30,122.45
42,CE_PE_EMA10_EMA30_2022,2022-02-04,Buy,NIFTY,50,PE,17500,2022-02-10,11:55:30,138.85,14:03:40,119.9
43,CE_PE_EMA10_EMA30_2022,2022-02-04,Buy,NIFTY,50,CE,17600,2022-02-10,14:03:40,128.25,15:25:00,99.1
44,CE_PE_EMA10_EMA30_2022,2022-02-04,Buy,NIFTY,50,PE,17500,2022-02-10,15:25:00,146.4,15:15:00,133.4
45,CE_PE_EMA10_EMA30_2022,2022-02-08,Buy,NIFTY,50,CE,17300,2022-02-10,09:35:30,113.5,10:30:00,58.3
46,CE_PE_EMA10_EMA30_2022,2022-02-08,Buy,NIFTY,50,PE,17200,2022-02-10,10:30:00,148.8,12:20:50,102.3
47,CE_PE_EMA10_EMA30_2022,2022-02-08,Buy,NIFTY,50,CE,17200,2022-02-10,12:20:50,120.95,15:15:00,139.4
48,CE_PE_EMA10_EMA30_2022,2022-02-09,Buy,NIFTY,50,CE,17400,2022-02-10,12:22:45,84.75,13:08:35,61.6
49,CE_PE_EMA10_EMA30_2022,2022-02-09,Buy,NIFTY,50,PE,17400,2022-02-10,13:08:35,73.3,14:05:15,44.55
50,CE_PE_EMA10_EMA30_2022,2022-02-09,Buy,NIFTY,50,CE,17400,2022-02-10,14:05:15,86.4,15:15:00,99.8
51,CE_PE_EMA10_EMA30_2022,2022-02-10,Buy,NIFTY,50,PE,17600,2022-02-10,15:15:05,2.75,15:15:00,1.85
52,CE_PE_EMA10_EMA30_2022,2022-02-11,Buy,NIFTY,50,CE,17300,2022-02-17,12:15:55,179.8,14:40:45,183.2
53,CE_PE_EMA10_EMA30_2022,2022-02-11,Buy,NIFTY,50,PE,17400,2022-02-17,14:40:45,165.85,15:15:00,155.75
54,CE_PE_EMA10_EMA30_2022,2022-02-14,Buy,NIFTY,50,PE,17000,2022-02-17,12:10:10,169.75,15:15:00,255.55
55,CE_PE_EMA10_EMA30_2022,2022-02-15,Buy,NIFTY,50,PE,16900,2022-02-17,10:50:25,160.4,11:01:35,132.3
56,CE_PE_EMA10_EMA30_2022,2022-02-15,Buy,NIFTY,50,CE,16900,2022-02-17,11:01:35,149.55,15:15:00,476.4
57,CE_PE_EMA10_EMA30_2022,2022-02-16,Buy,NIFTY,50,CE,17400,2022-02-17,12:34:05,92.15,15:15:00,46.8
58,CE_PE_EMA10_EMA30_2022,2022-02-17,Buy,NIFTY,50,CE,17400,2022-02-17,11:25:15,40.35,14:15:00,5.6
59,CE_PE_EMA10_EMA30_2022,2022-02-17,Buy,NIFTY,50,PE,17300,2022-02-17,14:15:00,24.7,15:15:00,3.75
60,CE_PE_EMA10_EMA30_2022,2022-02-18,Buy,NIFTY,50,PE,17300,2022-02-24,10:55:00,222.5,11:13:25,182.4
61,CE_PE_EMA10_EMA30_2022,2022-02-18,Buy,NIFTY,50,CE,17300,2022-02-24,11:13:25,210.7,15:15:00,182.3
62,CE_PE_EMA10_EMA30_2022,2022-02-21,Buy,NIFTY,50,CE,17200,2022-02-24,11:15:00,178.9,14:10:15,174.8
63,CE_PE_EMA10_EMA30_2022,2022-02-21,Buy,NIFTY,50,PE,17200,2022-02-24,14:10:15,143.95,15:15:00,154.75
64,CE_PE_EMA10_EMA30_2022,2022-02-22,Buy,NIFTY,50,CE,17000,2022-02-24,11:30:45,152.65,12:30:45,111.4
65,CE_PE_EMA10_EMA30_2022,2022-02-22,Buy,NIFTY,50,PE,16900,2022-02-24,12:30:45,142.3,14:10:00,88.55
66,CE_PE_EMA10_EMA30_2022,2022-02-22,Buy,NIFTY,50,CE,17000,2022-02-24,14:10:00,157.8,15:15:00,187.8
67,CE_PE_EMA10_EMA30_2022,2022-02-23,Buy,NIFTY,50,PE,17100,2022-02-24,12:59:00,75.35,15:15:00,108.8
68,CE_PE_EMA10_EMA30_2022,2022-02-24,Buy,NIFTY,50,PE,16500,2022-02-24,12:30:05,49.95,15:15:00,233.4
69,CE_PE_EMA10_EMA30_2022,2022-02-25,Buy,NIFTY,50,CE,16600,2022-03-03,09:41:55,244.7,15:16:45,266.05
70,CE_PE_EMA10_EMA30_2022,2022-02-25,Buy,NIFTY,50,PE,16700,2022-03-03,15:16:45,269.0,15:15:00,265.65
71,CE_PE_EMA10_EMA30_2022,2022-02-28,Buy,NIFTY,50,CE,16600,2022-03-03,11:23:25,237.8,15:15:00,345.65
72,CE_PE_EMA10_EMA30_2022,2022-03-02,Buy,NIFTY,50,PE,16600,2022-03-03,09:45:00,186.55,15:15:00,142.45
73,CE_PE_EMA10_EMA30_2022,2022-03-02,Buy,NIFTY,50,CE,16600,2022-03-03,15:15:00,147.55,15:15:00,147.55
74,CE_PE_EMA10_EMA30_2022,2022-03-03,Buy,NIFTY,50,PE,16600,2022-03-03,11:00:25,63.15,11:50:30,37.35
75,CE_PE_EMA10_EMA30_2022,2022-03-03,Buy,NIFTY,50,CE,16700,2022-03-03,11:50:30,33.9,12:25:00,11.05
76,CE_PE_EMA10_EMA30_2022,2022-03-03,Buy,NIFTY,50,PE,16600,2022-03-03,12:25:00,77.05,15:15:00,82.1
