,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
0,CE_PE_SMA10_SMA30_2020,2020-01-01,Buy,NIFTY,50,CE,12200,2020-01-02,13:31:10,27.35,15:00:00,19.45
1,CE_PE_SMA10_SMA30_2020,2020-01-01,Buy,NIFTY,50,PE,12200,2020-01-02,15:00:00,37.5,15:15:00,32.2
2,CE_PE_SMA10_SMA30_2020,2020-01-02,Buy,NIFTY,50,CE,12300,2020-01-02,09:20:00,1.35,15:15:00,0.1
3,CE_PE_SMA10_SMA30_2020,2020-01-03,Buy,NIFTY,50,PE,12300,2020-01-09,09:30:15,96.8,15:15:00,106.0
4,CE_PE_SMA10_SMA30_2020,2020-01-07,Buy,NIFTY,50,CE,12200,2020-01-09,09:22:00,26.3,13:01:00,12.3
5,CE_PE_SMA10_SMA30_2020,2020-01-07,Buy,NIFTY,50,PE,12100,2020-01-09,13:01:00,77.55,15:15:00,68.7
6,CE_PE_SMA10_SMA30_2020,2020-01-08,Buy,NIFTY,50,PE,12000,2020-01-09,11:08:40,75.9,14:10:35,44.1
7,CE_PE_SMA10_SMA30_2020,2020-01-08,Buy,NIFTY,50,CE,12100,2020-01-09,14:10:35,15.8,15:15:00,14.95
8,CE_PE_SMA10_SMA30_2020,2020-01-10,Buy,NIFTY,50,PE,12300,2020-01-16,13:25:00,75.65,15:15:00,96.25
9,CE_PE_SMA10_SMA30_2020,2020-01-13,Buy,NIFTY,50,PE,12300,2020-01-16,13:15:10,63.15,15:01:00,48.0
10,CE_PE_SMA10_SMA30_2020,2020-01-13,Buy,NIFTY,50,CE,12400,2020-01-16,15:01:00,26.45,15:15:00,27.65
11,CE_PE_SMA10_SMA30_2020,2020-01-14,Buy,NIFTY,50,PE,12300,2020-01-16,10:40:05,45.0,12:05:00,39.4
12,CE_PE_SMA10_SMA30_2020,2020-01-14,Buy,NIFTY,50,CE,12400,2020-01-16,12:05:00,20.2,13:55:55,17.75
13,CE_PE_SMA10_SMA30_2020,2020-01-14,Buy,NIFTY,50,PE,12400,2020-01-16,13:55:55,97.1,14:45:00,66.95
14,CE_PE_SMA10_SMA30_2020,2020-01-14,Buy,NIFTY,50,CE,12400,2020-01-16,14:45:00,29.0,15:15:00,27.0
15,CE_PE_SMA10_SMA30_2020,2020-01-15,Buy,NIFTY,50,PE,12300,2020-01-16,09:40:05,37.85,11:45:05,36.2
16,CE_PE_SMA10_SMA30_2020,2020-01-15,Buy,NIFTY,50,CE,12300,2020-01-16,11:45:05,40.05,13:41:20,34.5
17,CE_PE_SMA10_SMA30_2020,2020-01-15,Buy,NIFTY,50,PE,12300,2020-01-16,13:41:20,38.0,14:05:50,31.45
18,CE_PE_SMA10_SMA30_2020,2020-01-15,Buy,NIFTY,50,CE,12300,2020-01-16,14:05:50,36.25,15:15:00,68.05
19,CE_PE_SMA10_SMA30_2020,2020-01-16,Buy,NIFTY,50,PE,12400,2020-01-16,10:55:00,52.65,13:08:20,43.55
20,CE_PE_SMA10_SMA30_2020,2020-01-16,Buy,NIFTY,50,CE,12400,2020-01-16,13:08:20,1.95,15:29:35,0.05
21,CE_PE_SMA10_SMA30_2020,2020-01-16,Buy,NIFTY,50,PE,12400,2020-01-16,15:29:35,44.55,15:15:00,40.6
22,CE_PE_SMA10_SMA30_2020,2020-01-17,Buy,NIFTY,50,CE,12400,2020-01-23,10:31:20,54.4,12:09:55,40.1
23,CE_PE_SMA10_SMA30_2020,2020-01-17,Buy,NIFTY,50,PE,12400,2020-01-23,12:09:55,98.95,13:51:40,80.6
24,CE_PE_SMA10_SMA30_2020,2020-01-17,Buy,NIFTY,50,CE,12400,2020-01-23,13:51:40,46.85,15:10:30,42.2
25,CE_PE_SMA10_SMA30_2020,2020-01-17,Buy,NIFTY,50,PE,12400,2020-01-23,15:10:30,84.45,15:15:00,85.65
26,CE_PE_SMA10_SMA30_2020,2020-01-21,Buy,NIFTY,50,CE,12200,2020-01-23,12:05:10,55.45,13:55:10,38.6
27,CE_PE_SMA10_SMA30_2020,2020-01-21,Buy,NIFTY,50,PE,12200,2020-01-23,13:55:10,58.55,15:15:00,57.7
28,CE_PE_SMA10_SMA30_2020,2020-01-22,Buy,NIFTY,50,PE,12200,2020-01-23,11:50:00,84.65,13:15:25,72.55
29,CE_PE_SMA10_SMA30_2020,2020-01-22,Buy,NIFTY,50,CE,12200,2020-01-23,13:15:25,18.15,13:56:10,13.7
30,CE_PE_SMA10_SMA30_2020,2020-01-22,Buy,NIFTY,50,PE,12200,2020-01-23,13:56:10,83.5,15:15:00,88.75
31,CE_PE_SMA10_SMA30_2020,2020-01-23,Buy,NIFTY,50,CE,12200,2020-01-23,09:34:20,4.25,11:11:25,1.15
32,CE_PE_SMA10_SMA30_2020,2020-01-23,Buy,NIFTY,50,PE,12100,2020-01-23,11:11:25,11.85,12:30:05,3.25
33,CE_PE_SMA10_SMA30_2020,2020-01-23,Buy,NIFTY,50,CE,12200,2020-01-23,12:30:05,2.45,14:45:05,0.8
34,CE_PE_SMA10_SMA30_2020,2020-01-23,Buy,NIFTY,50,PE,12200,2020-01-23,14:45:05,32.65,15:15:00,18.65
35,CE_PE_SMA10_SMA30_2020,2020-01-24,Buy,NIFTY,50,CE,12200,2020-01-30,10:09:50,92.25,12:20:00,92.05
36,CE_PE_SMA10_SMA30_2020,2020-01-24,Buy,NIFTY,50,PE,12200,2020-01-30,12:20:00,48.95,13:31:15,38.1
37,CE_PE_SMA10_SMA30_2020,2020-01-24,Buy,NIFTY,50,CE,12300,2020-01-30,13:31:15,49.3,15:15:00,49.3
38,CE_PE_SMA10_SMA30_2020,2020-01-27,Buy,NIFTY,50,PE,12200,2020-01-30,09:20:05,84.0,12:40:00,60.5
39,CE_PE_SMA10_SMA30_2020,2020-01-27,Buy,NIFTY,50,CE,12200,2020-01-30,12:40:00,59.25,13:14:20,47.3
40,CE_PE_SMA10_SMA30_2020,2020-01-27,Buy,NIFTY,50,PE,12200,2020-01-30,13:14:20,75.9,15:15:00,101.05
41,CE_PE_SMA10_SMA30_2020,2020-01-28,Buy,NIFTY,50,PE,12100,2020-01-30,10:30:05,55.25,12:10:00,37.0
42,CE_PE_SMA10_SMA30_2020,2020-01-28,Buy,NIFTY,50,CE,12100,2020-01-30,12:10:00,80.3,13:55:20,64.1
43,CE_PE_SMA10_SMA30_2020,2020-01-28,Buy,NIFTY,50,PE,12100,2020-01-30,13:55:20,48.15,15:15:00,64.3
44,CE_PE_SMA10_SMA30_2020,2020-01-29,Buy,NIFTY,50,CE,12100,2020-01-30,09:37:00,67.5,12:50:00,76.25
45,CE_PE_SMA10_SMA30_2020,2020-01-29,Buy,NIFTY,50,PE,12200,2020-01-30,12:50:00,66.4,15:15:00,83.2
46,CE_PE_SMA10_SMA30_2020,2020-01-30,Buy,NIFTY,50,CE,12100,2020-01-30,15:05:40,0.4,15:15:00,0.05
47,CE_PE_SMA10_SMA30_2020,2020-01-31,Buy,NIFTY,50,PE,12000,2020-02-06,11:07:35,143.8,15:15:00,164.25
48,CE_PE_SMA10_SMA30_2020,2020-02-01,Buy,NIFTY,50,CE,12000,2020-02-06,10:55:05,132.9,12:05:00,118.35
49,CE_PE_SMA10_SMA30_2020,2020-02-01,Buy,NIFTY,50,PE,12000,2020-02-06,12:05:00,176.4,15:15:00,365.0
50,CE_PE_SMA10_SMA30_2020,2020-02-03,Buy,NIFTY,50,CE,11700,2020-02-06,10:47:35,88.45,11:50:00,55.05
51,CE_PE_SMA10_SMA30_2020,2020-02-03,Buy,NIFTY,50,PE,11700,2020-02-06,11:50:00,108.9,13:15:35,83.25
52,CE_PE_SMA10_SMA30_2020,2020-02-03,Buy,NIFTY,50,CE,11700,2020-02-06,13:15:35,68.3,15:15:00,59.75
53,CE_PE_SMA10_SMA30_2020,2020-02-05,Buy,NIFTY,50,PE,12000,2020-02-06,11:55:10,51.4,13:55:40,30.7
54,CE_PE_SMA10_SMA30_2020,2020-02-05,Buy,NIFTY,50,CE,12000,2020-02-06,13:55:40,46.75,15:15:00,89.55
55,CE_PE_SMA10_SMA30_2020,2020-02-06,Buy,NIFTY,50,PE,12100,2020-02-06,11:15:00,28.65,13:25:10,1.4
56,CE_PE_SMA10_SMA30_2020,2020-02-06,Buy,NIFTY,50,CE,12200,2020-02-06,13:25:10,1.75,14:10:10,0.35
57,CE_PE_SMA10_SMA30_2020,2020-02-06,Buy,NIFTY,50,PE,12100,2020-02-06,14:10:10,11.15,15:15:00,0.1
58,CE_PE_SMA10_SMA30_2020,2020-02-07,Buy,NIFTY,50,PE,12100,2020-02-13,14:00:00,89.4,15:06:55,68.1
59,CE_PE_SMA10_SMA30_2020,2020-02-07,Buy,NIFTY,50,CE,12100,2020-02-13,15:06:55,68.2,15:15:00,63.35
60,CE_PE_SMA10_SMA30_2020,2020-02-10,Buy,NIFTY,50,PE,12000,2020-02-13,09:30:00,50.55,12:21:15,51.05
61,CE_PE_SMA10_SMA30_2020,2020-02-10,Buy,NIFTY,50,CE,12000,2020-02-13,12:21:15,74.5,13:42:10,61.9
62,CE_PE_SMA10_SMA30_2020,2020-02-10,Buy,NIFTY,50,PE,12000,2020-02-13,13:42:10,61.8,15:15:00,45.45
63,CE_PE_SMA10_SMA30_2020,2020-02-10,Buy,NIFTY,50,CE,12000,2020-02-13,15:15:00,75.85,15:15:00,75.85
64,CE_PE_SMA10_SMA30_2020,2020-02-11,Buy,NIFTY,50,PE,12200,2020-02-13,11:45:15,80.6,13:37:55,75.1
65,CE_PE_SMA10_SMA30_2020,2020-02-11,Buy,NIFTY,50,CE,12200,2020-02-13,13:37:55,27.85,14:40:35,17.45
66,CE_PE_SMA10_SMA30_2020,2020-02-11,Buy,NIFTY,50,PE,12100,2020-02-13,14:40:35,37.2,15:15:00,36.95
67,CE_PE_SMA10_SMA30_2020,2020-02-12,Buy,NIFTY,50,CE,12200,2020-02-13,10:00:05,33.95,12:25:10,33.15
68,CE_PE_SMA10_SMA30_2020,2020-02-12,Buy,NIFTY,50,PE,12200,2020-02-13,12:25:10,35.75,13:35:50,30.05
69,CE_PE_SMA10_SMA30_2020,2020-02-12,Buy,NIFTY,50,CE,12200,2020-02-13,13:35:50,39.25,15:15:00,34.2
70,CE_PE_SMA10_SMA30_2020,2020-02-13,Buy,NIFTY,50,PE,12200,2020-02-13,09:20:20,42.95,14:21:10,44.0
71,CE_PE_SMA10_SMA30_2020,2020-02-13,Buy,NIFTY,50,CE,12200,2020-02-13,14:21:10,0.8,15:15:00,0.05
72,CE_PE_SMA10_SMA30_2020,2020-02-14,Buy,NIFTY,50,PE,12100,2020-02-20,13:35:35,52.2,15:15:00,56.9
73,CE_PE_SMA10_SMA30_2020,2020-02-17,Buy,NIFTY,50,CE,12100,2020-02-20,11:53:00,67.7,15:15:00,45.75
74,CE_PE_SMA10_SMA30_2020,2020-02-18,Buy,NIFTY,50,PE,12000,2020-02-20,09:20:05,66.45,14:30:00,69.55
75,CE_PE_SMA10_SMA30_2020,2020-02-18,Buy,NIFTY,50,CE,12000,2020-02-20,14:30:00,33.3,15:15:00,58.9
76,CE_PE_SMA10_SMA30_2020,2020-02-19,Buy,NIFTY,50,CE,12100,2020-02-20,15:22:30,52.3,15:15:00,47.85
77,CE_PE_SMA10_SMA30_2020,2020-02-20,Buy,NIFTY,50,PE,12100,2020-02-20,10:01:50,18.65,11:05:05,8.1
78,CE_PE_SMA10_SMA30_2020,2020-02-20,Buy,NIFTY,50,CE,12100,2020-02-20,11:05:05,35.6,13:30:00,31.55
79,CE_PE_SMA10_SMA30_2020,2020-02-20,Buy,NIFTY,50,PE,12100,2020-02-20,13:30:00,4.6,15:15:00,17.4
80,CE_PE_SMA10_SMA30_2020,2020-02-24,Buy,NIFTY,50,CE,11900,2020-02-27,11:45:00,92.5,13:24:00,86.6
81,CE_PE_SMA10_SMA30_2020,2020-02-24,Buy,NIFTY,50,PE,11900,2020-02-27,13:24:00,57.1,15:15:00,126.3
82,CE_PE_SMA10_SMA30_2020,2020-02-25,Buy,NIFTY,50,CE,11900,2020-02-27,10:31:00,52.45,13:52:20,38.2
83,CE_PE_SMA10_SMA30_2020,2020-02-25,Buy,NIFTY,50,PE,11800,2020-02-27,13:52:20,55.6,15:15:00,52.15
84,CE_PE_SMA10_SMA30_2020,2020-02-26,Buy,NIFTY,50,CE,11700,2020-02-27,12:25:05,66.6,14:36:15,31.5
85,CE_PE_SMA10_SMA30_2020,2020-02-26,Buy,NIFTY,50,PE,11700,2020-02-27,14:36:15,70.7,15:15:00,43.0
86,CE_PE_SMA10_SMA30_2020,2020-02-27,Buy,NIFTY,50,CE,11600,2020-02-27,12:49:20,17.95,14:20:15,5.15
87,CE_PE_SMA10_SMA30_2020,2020-02-27,Buy,NIFTY,50,PE,11600,2020-02-27,14:20:15,40.9,14:51:25,5.3
88,CE_PE_SMA10_SMA30_2020,2020-02-27,Buy,NIFTY,50,CE,11600,2020-02-27,14:51:25,22.5,15:15:00,34.8
89,CE_PE_SMA10_SMA30_2020,2020-02-28,Buy,NIFTY,50,PE,11300,2020-03-05,09:25:20,134.0,15:15:00,220.7
90,CE_PE_SMA10_SMA30_2020,2020-03-02,Buy,NIFTY,50,CE,11300,2020-03-05,09:40:35,146.3,14:45:00,130.1
91,CE_PE_SMA10_SMA30_2020,2020-03-02,Buy,NIFTY,50,PE,11300,2020-03-05,14:45:00,135.95,15:15:00,296.7
92,CE_PE_SMA10_SMA30_2020,2020-03-03,Buy,NIFTY,50,PE,11200,2020-03-05,10:46:05,156.2,12:46:00,110.3
93,CE_PE_SMA10_SMA30_2020,2020-03-03,Buy,NIFTY,50,CE,11200,2020-03-05,12:46:00,154.35,15:15:00,170.3
94,CE_PE_SMA10_SMA30_2020,2020-03-04,Buy,NIFTY,50,PE,11200,2020-03-05,12:55:10,80.9,15:10:00,50.1
95,CE_PE_SMA10_SMA30_2020,2020-03-04,Buy,NIFTY,50,CE,11200,2020-03-05,15:10:00,104.7,15:15:00,115.0
96,CE_PE_SMA10_SMA30_2020,2020-03-06,Buy,NIFTY,50,CE,10900,2020-03-12,12:10:50,173.55,15:15:00,186.25
97,CE_PE_SMA10_SMA30_2020,2020-03-09,Buy,NIFTY,50,PE,10700,2020-03-12,09:30:00,143.0,14:50:35,270.3
98,CE_PE_SMA10_SMA30_2020,2020-03-09,Buy,NIFTY,50,CE,10500,2020-03-12,14:50:35,147.9,15:15:00,141.3
99,CE_PE_SMA10_SMA30_2020,2020-03-11,Buy,NIFTY,50,PE,10400,2020-03-12,10:19:35,123.7,12:00:15,74.25
100,CE_PE_SMA10_SMA30_2020,2020-03-11,Buy,NIFTY,50,CE,10500,2020-03-12,12:00:15,90.2,15:15:00,62.05
101,CE_PE_SMA10_SMA30_2020,2020-03-12,Buy,NIFTY,50,PE,9900,2020-03-12,09:22:40,56.65,15:15:00,337.0
102,CE_PE_SMA10_SMA30_2020,2020-03-13,Buy,NIFTY,50,CE,9500,2020-03-19,11:21:30,494.65,15:15:00,630.75
103,CE_PE_SMA10_SMA30_2020,2020-03-16,Buy,NIFTY,50,PE,9400,2020-03-19,12:01:25,367.6,15:15:00,510.0
104,CE_PE_SMA10_SMA30_2020,2020-03-17,Buy,NIFTY,50,CE,9300,2020-03-19,10:26:40,339.15,14:09:50,194.05
105,CE_PE_SMA10_SMA30_2020,2020-03-17,Buy,NIFTY,50,PE,9100,2020-03-19,14:09:50,278.85,15:15:00,392.0
106,CE_PE_SMA10_SMA30_2020,2020-03-19,Buy,NIFTY,50,CE,8200,2020-03-19,11:31:50,169.55,15:15:20,61.75
107,CE_PE_SMA10_SMA30_2020,2020-03-19,Buy,NIFTY,50,PE,8200,2020-03-19,15:15:20,1.55,15:15:00,1.05
108,CE_PE_SMA10_SMA30_2020,2020-03-20,Buy,NIFTY,50,CE,8300,2020-03-26,11:29:00,408.0,15:15:00,641.3
109,CE_PE_SMA10_SMA30_2020,2020-03-23,Buy,NIFTY,50,PE,8100,2020-03-26,09:25:25,402.9,15:15:00,662.4
110,CE_PE_SMA10_SMA30_2020,2020-03-24,Buy,NIFTY,50,PE,7600,2020-03-26,10:20:00,384.6,11:12:25,318.6
111,CE_PE_SMA10_SMA30_2020,2020-03-24,Buy,NIFTY,50,CE,7700,2020-03-26,11:12:25,358.45,15:15:00,448.5
112,CE_PE_SMA10_SMA30_2020,2020-03-25,Buy,NIFTY,50,CE,7900,2020-03-26,11:37:50,254.5,15:15:00,505.9
113,CE_PE_SMA10_SMA30_2020,2020-03-26,Buy,NIFTY,50,CE,8700,2020-03-26,12:45:10,120.25,13:35:35,29.35
114,CE_PE_SMA10_SMA30_2020,2020-03-26,Buy,NIFTY,50,PE,8500,2020-03-26,13:35:35,131.95,15:15:00,0.4
