,Strategy,Date,Transaction,Symbol,Qty,Option,Strike,ExpiryDt,EnTime,BPrice,ExTime,SPrice
0,CE_PE_SMA10_SMA30_2019,2019-03-01,Buy,NIFTY,50,PE,10900,2019-03-07,12:32:00,101.0,14:37:35,89.8
1,CE_PE_SMA10_SMA30_2019,2019-03-01,Buy,NIFTY,50,CE,10900,2019-03-07,14:37:35,55.35,15:15:00,57.2
2,CE_PE_SMA10_SMA30_2019,2019-03-05,Buy,NIFTY,50,PE,10900,2019-03-07,09:49:10,86.8,10:45:00,60.95
3,CE_PE_SMA10_SMA30_2019,2019-03-05,Buy,NIFTY,50,CE,10900,2019-03-07,10:45:00,47.55,15:15:00,106.45
4,CE_PE_SMA10_SMA30_2019,2019-03-06,Buy,NIFTY,50,PE,11100,2019-03-07,13:27:05,89.3,14:45:00,72.4
5,CE_PE_SMA10_SMA30_2019,2019-03-06,Buy,NIFTY,50,CE,11100,2019-03-07,14:45:00,7.9,15:15:00,7.6
6,CE_PE_SMA10_SMA30_2019,2019-03-07,Buy,NIFTY,50,PE,11100,2019-03-07,12:18:30,58.85,13:46:20,34.7
7,CE_PE_SMA10_SMA30_2019,2019-03-07,Buy,NIFTY,50,CE,11100,2019-03-07,13:46:20,2.8,15:15:00,0.05
8,CE_PE_SMA10_SMA30_2019,2019-03-11,Buy,NIFTY,50,CE,11100,2019-03-14,09:35:55,57.3,15:15:00,86.3
9,CE_PE_SMA10_SMA30_2019,2019-03-12,Buy,NIFTY,50,PE,11300,2019-03-14,12:20:35,66.35,14:13:20,50.8
10,CE_PE_SMA10_SMA30_2019,2019-03-12,Buy,NIFTY,50,CE,11300,2019-03-14,14:13:20,31.6,15:15:00,42.9
11,CE_PE_SMA10_SMA30_2019,2019-03-13,Buy,NIFTY,50,CE,11300,2019-03-14,11:40:10,38.15,15:15:00,42.6
12,CE_PE_SMA10_SMA30_2019,2019-03-14,Buy,NIFTY,50,PE,11300,2019-03-14,13:08:45,6.75,14:17:55,1.4
13,CE_PE_SMA10_SMA30_2019,2019-03-14,Buy,NIFTY,50,CE,11400,2019-03-14,14:17:55,0.75,15:15:00,0.05
14,CE_PE_SMA10_SMA30_2019,2019-03-15,Buy,NIFTY,50,CE,11500,2019-03-20,12:30:00,38.85,15:15:00,36.15
15,CE_PE_SMA10_SMA30_2019,2019-03-18,Buy,NIFTY,50,CE,11500,2019-03-20,09:40:55,77.15,10:55:20,39.3
16,CE_PE_SMA10_SMA30_2019,2019-03-18,Buy,NIFTY,50,PE,11500,2019-03-20,10:55:20,84.3,15:09:10,65.95
17,CE_PE_SMA10_SMA30_2019,2019-03-18,Buy,NIFTY,50,CE,11500,2019-03-20,15:09:10,37.25,15:15:00,39.6
